run_index,voted_redundant_blocks,num_voted_blocks
1,"11,12,13,14,16,17,20",7
2,"11,12,13,14,16,17,20",7
3,"11,12,13,14,16,17,20",7
4,"11,12,13,14,16,17,20",7
5,"11,12,13,14,16,17,20",7
6,"11,12,13,14,16,17,20",7
7,"11,12,13,14,16,17",6
8,"11,12,13,14,16,17,20",7
9,"11,12,13,14,16,17,20",7
10,"11,12,13,14,16,17",6
11,"11,12,13,14,16,17",6
12,"11,12,13,14,16,17,20",7
13,"11,12,13,14,16,17,20,25",8
14,"11,12,13,14,16,17,20",7
15,"11,12,13,14,16,17,20,25",8
16,"11,12,13,14,16,17,20",7
17,"11,12,13,14,16,17,20",7
18,"11,12,14,16,17,20",6
19,"11,12,14,16,17,20,25",7
20,"11,12,13,14,16,17,20",7
21,"11,12,13,14,16,17,20",7
22,"11,12,14,16,17,20",6
23,"11,12,13,14,16,17,20,25",8
24,"11,12,13,14,16,17,20",7
25,"11,12,14,16,17,20",6
26,"11,12,13,14,16,17,20",7
27,"11,12,13,14,16,17,20",7
28,"11,12,13,14,16,17,20",7
29,"11,12,13,14,16,17,20",7
30,"11,12,13,14,16,17,20",7
31,"11,12,14,16,17,20",6
32,"11,12,13,14,16,17,20,25",8
33,"11,12,14,16,17,20",6
34,"11,12,13,14,16,17,20",7
35,"11,12,14,16,17",5
36,"11,12,14,16,17,20",6
37,"11,12,13,14,16,17,20",7
38,"11,12,13,14,16,17,20",7
39,"11,12,13,14,16,17",6
40,"11,12,13,14,16,17,20",7
41,"11,12,14,16,17,20",6
42,"11,12,13,14,16,17,20",7
43,"11,12,13,14,16,17,20",7
44,"11,12,13,14,16,17",6
45,"11,12,13,14,16,17,20",7
46,"11,12,13,14,16,17,20,25",8
47,"11,12,13,14,16,17,20",7
48,"11,12,13,14,16,17,20",7
49,"11,12,13,14,16,17,20,25",8
50,"11,12,13,14,16,17,20,25",8
51,"11,12,13,14,16,17,20",7
52,"11,12,14,16,17,25",6
53,"11,12,13,14,16,17",6
54,"11,12,14,16,17,20,25",7
55,"11,12,13,14,16,17",6
56,"11,12,14,16,17,20",6
57,"11,12,13,14,16,17,20",7
58,"11,12,13,14,16,17,20,25",8
59,"11,12,13,14,16,17,20",7
60,"11,12,14,16,17,20",6
61,"11,12,13,14,16,17,20",7
62,"11,12,13,14,16,17",6
63,"11,12,13,14,16,17,20",7
64,"11,12,13,14,16,17,20",7
65,"11,12,14,16,17,20",6
66,"11,12,13,14,16,17,20,25",8
67,"11,12,13,14,16,17,20",7
68,"11,12,14,16,17",5
69,"11,12,13,14,16,17,20",7
70,"11,12,13,14,16,17,20",7
71,"11,12,13,14,16,17,20",7
72,"11,12,14,16,17,20",6
73,"11,12,13,14,16,17",6
74,"11,12,13,14,16,17,20",7
75,"11,12,13,14,16,17,20,25",8
76,"11,12,14,16,17,20",6
77,"11,12,13,14,16,17,20",7
78,"11,12,13,14,16,17",6
79,"11,12,13,14,16,17,20",7
80,"11,12,14,16,17,20",6
81,"11,12,13,14,16,17,20",7
82,"11,12,13,14,16,17,20",7
83,"11,12,14,16,17,20",6
84,"11,12,13,14,16,17,20",7
85,"11,12,14,16,17",5
86,"11,12,13,14,16,17,20",7
87,"11,12,13,14,16,17,20",7
88,"11,12,13,14,16,17",6
89,"11,12,13,14,16,17,20,25",8
90,"11,12,13,14,16,17",6
91,"11,12,14,16,17,20",6
92,"11,12,13,14,16,17,20,25",8
93,"11,12,13,14,16,17,20",7
94,"11,12,13,14,16,17",6
95,"11,12,14,16,17,20,25",7
96,"11,12,14,16,17,20",6
97,"11,12,13,14,16,17,20",7
98,"11,12,13,14,16,17,20",7
99,"11,12,13,14,16,17,20",7
100,"11,12,13,14,16,17,20",7
